cod_reg;region;cod_prov;provincia;cod_com;comuna;clasf_pnd;pob_2017;bs03;bs04;bs07;bs11;bs12;bs13;bs14;bs16;bs17;bs21;oe01;oe12;oe13;oe15;oe16;sm02;sm06;sm08;sm11;ci01;ci02;ci05;ci06;ci07
10;LOS LAGOS;101;LLANQUIHUE;10105;FRUTILLAR;RURAL;18428;7,58;12,21;15,05;15,24;68,94;61,91;91,85;515,03;917,25;13,63;40,49;0,98;1,96;54,69;1765338,72;685,16;10,81;0,00;0,84;0,05;7,16;0,33;0,20;63,64
10;LOS LAGOS;101;LLANQUIHUE;10106;LOS MUERMOS;RURAL;17068;8,97;19,64;51,01;25,48;46,40;25,39;91,11;471,17;443,12;12,63;68,00;0,56;2,24;18,03;254355,88;831,73;1,56;0,02;0,84;NA;32,42;0,33;0,22;8,33
10;LOS LAGOS;101;LLANQUIHUE;10107;LLANQUIHUE;RURAL;17591;6,35;10,26;12,50;14,26;80,24;67,94;90,54;631,22;1059,16;7,70;52,11;1,60;1,07;56,00;1773927,00;685,16;10,00;0,00;0,84;0,05;17,28;0,17;0,21;75,00
10;LOS LAGOS;101;LLANQUIHUE;10108;MAULLÍN;RURAL;14216;7,04;14,93;26,16;20,11;65,68;10,09;92,71;511,47;619,15;15,13;78,52;0,67;2,02;38,35;504924,38;831,73;1,56;0,00;0,84;0,13;25,78;0,33;0,27;9,52
10;LOS LAGOS;101;LLANQUIHUE;10109;PUERTO VARAS;MIXTA;44578;6,33;10,05;16,20;18,34;69,43;52,09;87,56;470,28;1279,09;10,47;14,68;1,01;1,82;59,66;7607285,80;685,16;15,25;0,00;0,84;0,02;9,10;0,33;0,26;0,00
10;LOS LAGOS;102;CHILOÉ;10201;CASTRO;MIXTA;43807;2,75;6,35;8,91;11,46;75,57;58,47;81,59;525,72;1157,84;3,39;66,94;1,04;1,25;28,85;5229063,16;537,85;7,78;0,01;NA;0,54;20,13;0,17;0,06;65,00
10;LOS LAGOS;102;CHILOÉ;10202;ANCUD;MIXTA;38991;4,82;13,63;16,32;15,78;71,43;58,87;89,75;651,86;760,11;7,38;67,27;0,71;1,65;25,72;2446278,75;685,16;6,98;0,02;NA;0,21;80,41;0,17;0,07;76,92
10;LOS LAGOS;102;CHILOÉ;10203;CHONCHI;RURAL;14858;6,52;26,47;37,27;17,67;54,25;24,93;91,43;459,86;565,50;8,17;59,81;0,62;1,86;32,37;221112,30;831,73;4,35;0,01;NA;0,12;15,72;0,33;0,12;77,78
10;LOS LAGOS;102;CHILOÉ;10204;CURACO DE VÉLEZ;RURAL;3829;3,18;7,33;34,71;12,22;52,12;NA;91,91;367,11;293,69;4,84;89,19;NA;4,89;50,67;NA;NA;0,00;NA;NA;1,22;26,19;0,17;0,24;100,00
10;LOS LAGOS;102;CHILOÉ;10205;DALCAHUE;RURAL;13762;6,86;22,86;46,91;12,40;58,68;31,57;91,39;408,49;540,26;8,03;69,60;0,66;1,98;28,93;330511,18;537,85;16,67;0,01;NA;0,53;17,85;0,17;0,26;69,23
10;LOS LAGOS;102;CHILOÉ;10206;PUQUELDÓN;RURAL;3921;5,60;NA;NA;19,64;45,44;NA;89,50;309,60;238,15;8,73;85,94;NA;2,38;26,77;NA;NA;0,00;0,00;NA;NA;30,72;0,33;0,71;50,00
10;LOS LAGOS;102;CHILOÉ;10207;QUEILÉN;RURAL;5385;7,94;26,57;26,91;22,08;42,89;NA;91,73;504,78;450,69;27,90;88,11;NA;1,80;32,21;NA;NA;4,55;0,13;NA;0,18;20,19;0,00;0,36;100,00
10;LOS LAGOS;102;CHILOÉ;10208;QUELLÓN;MIXTA;27192;4,34;9,95;10,84;13,53;62,95;46,09;88,87;589,07;1049,50;6,62;63,97;1,02;1,02;36,81;1449954,11;831,73;7,32;0,01;NA;0,34;9,82;0,33;0,07;87,50
10;LOS LAGOS;102;CHILOÉ;10209;QUEMCHI;RURAL;8352;8,62;28,47;116,18;19,99;41,47;NA;90,86;307,55;330,33;12,11;87,05;1,14;4,56;21,09;209024,24;NA;5,56;0,01;NA;NA;12,19;0,17;0,46;100,00
10;LOS LAGOS;102;CHILOÉ;10210;QUINCHAO;RURAL;8088;4,50;6,20;6,87;11,52;54,62;23,88;86,66;411,03;507,74;19,37;81,01;1,21;2,42;52,78;811011,60;831,73;6,67;NA;NA;2,66;31,91;0,33;0,48;93,33
10;LOS LAGOS;103;OSORNO;10302;PUERTO OCTAY;RURAL;8999;10,96;26,61;25,94;19,13;45,13;NA;94,04;545,91;698,77;21,89;54,46;1,09;2,18;31,21;305733,11;NA;2,78;0,01;0,83;NA;29,37;0,17;0,22;62,50
10;LOS LAGOS;103;OSORNO;10303;PURRANQUE;RURAL;20369;9,13;17,91;19,13;15,35;72,92;57,78;91,98;531,81;963,91;11,41;56,40;1,42;1,42;32,27;2189370,48;831,73;3,64;0,08;0,83;NA;14,91;0,33;NA;83,33
10;LOS LAGOS;103;OSORNO;10304;PUYEHUE;RURAL;11667;15,22;22,27;57,11;18,92;53,83;NA;93,55;652,54;686,44;17,97;NA;0,85;2,54;43,37;524890,89;NA;5,88;0,00;0,83;NA;39,49;0,50;0,42;100,00
10;LOS LAGOS;103;OSORNO;10305;RÍO NEGRO;RURAL;14085;11,44;17,92;19,13;17,19;65,20;37,01;95,20;520,06;920,66;15,59;61,09;0,70;2,11;32,66;596349,36;831,73;0,00;0,01;0,83;NA;21,08;0,50;0,28;66,67
10;LOS LAGOS;103;OSORNO;10306;SAN JUAN DE LA COSTA;RURAL;7512;22,01;35,10;45,92;26,13;15,91;NA;97,56;724,64;1251,65;24,28;83,74;NA;1,32;15,90;NA;NA;0,00;0,10;0,83;NA;63,77;0,33;0,92;82,61
10;LOS LAGOS;103;OSORNO;10307;SAN PABLO;RURAL;10030;9,76;19,47;28,67;29,48;51,37;40,57;95,93;521,03;757,86;15,37;58,82;0,95;1,89;30,27;104757,26;831,73;0,00;0,00;0,83;NA;14,49;0,33;0,38;70,00
10;LOS LAGOS;104;PALENA;10401;CHAITÉN;RURAL;5071;12,11;23,79;23,56;30,78;43,57;22,32;84,89;238,43;377,51;52,55;75,62;1,99;3,97;48,67;312427,96;831,73;10,71;0,00;NA;0,20;54,04;0,00;0,99;0,00
10;LOS LAGOS;104;PALENA;10402;FUTALEUFÚ;RURAL;2623;9,63;16,20;16,19;25,91;61,45;31,54;82,69;246,91;740,74;20,36;85,83;3,53;3,53;13,07;1539930,92;685,16;0,00;0,01;NA;NA;29,28;0,50;0,71;100,00
10;LOS LAGOS;104;PALENA;10403;HUALAIHUÉ;RURAL;8944;13,63;37,16;131,41;32,50;66,19;NA;92,43;911,38;733,29;15,66;78,17;1,05;1,05;37,33;100679,35;NA;2,78;NA;NA;1,89;24,41;0,33;0,31;55,00
10;LOS LAGOS;104;PALENA;10404;PALENA;RURAL;1711;6,71;8,01;8,29;15,16;62,39;NA;87,04;383,35;602,41;14,15;86,39;5,48;5,48;11,27;916442,66;NA;0,00;0,00;NA;NA;30,67;0,17;2,19;0,00
11;AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO;111;COYHAIQUE;11102;LAGO VERDE;RURAL;852;32,74;250,88;327,48;25,68;59,28;NA;94,20;435,26;544,07;76,18;79,37;NA;10,88;16,81;NA;NA;87,50;0,01;0,92;1,09;20,67;0,33;9,79;50,00
11;AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO;112;AYSÉN;11201;AYSÉN;RURAL;23959;116,74;119,41;128,31;13,88;81,35;NA;86,04;661,75;1056,41;118,71;67,37;1,59;1,99;25,19;3548012,99;739,84;50,00;0,00;NA;0,76;9,17;0,50;0,28;66,67
11;AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO;112;AYSÉN;11202;CISNES;RURAL;6517;84,40;105,81;160,47;30,69;72,42;NA;89,10;598,80;958,08;79,40;71,74;1,71;8,55;36,00;618944,25;739,84;113,33;0,00;NA;1,03;31,99;0,33;1,54;50,00
11;AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO;112;AYSÉN;11203;GUAITECAS;RURAL;1843;2,45;4,68;NA;NA;87,84;NA;86,83;311,72;623,44;5,08;67,24;NA;6,23;0,00;NA;NA;33,33;NA;NA;6,86;22,44;0,17;0,62;0,00
11;AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO;113;CAPITÁN PRAT;11301;COCHRANE;RURAL;3490;15,50;16,89;17,13;24,99;67,77;NA;83,93;755,94;1457,88;42,86;82,86;2,70;2,70;0,16;1814117,16;739,84;40,00;0,00;NA;2,97;52,11;0,17;1,89;NA
11;AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO;113;CAPITÁN PRAT;11302;O'HIGGINS;RURAL;625;68,53;68,53;NA;NA;63,25;NA;85,71;300,75;902,26;64,73;88,22;NA;15,04;0,26;NA;NA;100,00;0,00;NA;NA;19,55;0,83;4,51;NA
11;AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO;113;CAPITÁN PRAT;11303;TORTEL;RURAL;523;40,45;92,59;104,94;NA;56,34;NA;84,93;347,22;694,44;39,82;93,55;NA;17,36;0,00;NA;NA;50,00;0,00;NA;15,63;34,72;0,83;3,47;NA
11;AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO;114;GENERAL CARRERA;11401;CHILE CHICO;RURAL;4865;10,35;19,65;19,88;12,64;74,80;NA;84,76;544,96;1089,92;44,41;84,83;1,95;3,89;2,74;1334652,05;739,84;88,89;0,01;NA;0,58;15,76;0,33;0,39;0,00
11;AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO;114;GENERAL CARRERA;11402;RÍO IBÁÑEZ;RURAL;2666;37,50;102,53;154,87;26,96;61,10;21,90;90,79;443,62;961,18;45,78;85,85;NA;11,09;20,42;NA;1230,12;70,00;0,02;NA;3,33;89,46;0,50;0,37;0,00
12;MAGALLANES Y DE LA ANTÁRTICA CHILENA;121;MAGALLANES;12102;LAGUNA BLANCA;RURAL;274;105,11;112,75;114,03;NA;31,45;NA;93,75;0,00;1544,40;108,58;NA;NA;0,00;46,81;NA;NA;0,00;NA;0,90;NA;30,89;0,50;11,58;0,00
12;MAGALLANES Y DE LA ANTÁRTICA CHILENA;121;MAGALLANES;12103;RÍO VERDE;RURAL;617;79,25;197,11;197,20;NA;0,81;NA;72,73;0,00;0,00;185,46;63,21;NA;0,00;0,00;NA;NA;0,00;NA;0,90;NA;28,30;0,33;4,72;0,00
12;MAGALLANES Y DE LA ANTÁRTICA CHILENA;121;MAGALLANES;12104;SAN GREGORIO;RURAL;799;117,21;194,34;194,59;NA;25,24;NA;82,35;148,37;296,74;117,52;75,54;NA;14,84;26,13;NA;NA;0,00;NA;0,90;NA;10,39;0,50;2,97;0,00
12;MAGALLANES Y DE LA ANTÁRTICA CHILENA;122;ANTÁRTICA CHILENA;12201;CABO DE HORNOS;RURAL;2063;7,17;7,17;6,93;5,77;79,82;NA;66,84;504,29;605,14;NA;87,77;NA;5,04;6,15;NA;NA;40,00;0,00;NA;13,11;35,80;0,50;2,02;0,00
12;MAGALLANES Y DE LA ANTÁRTICA CHILENA;123;TIERRA DEL FUEGO;12301;PORVENIR;RURAL;6801;57,52;132,25;131,28;8,13;84,29;78,08;77,24;471,63;875,89;207,69;58,94;1,35;4,04;22,27;1349188,32;699,70;0,00;0,03;NA;NA;3,77;0,33;0,40;0,00
12;MAGALLANES Y DE LA ANTÁRTICA CHILENA;123;TIERRA DEL FUEGO;12302;PRIMAVERA;RURAL;1158;75,42;292,88;291,02;NA;32,90;NA;73,91;0,00;725,69;250,29;79,10;NA;14,51;40,04;NA;NA;0,00;NA;NA;NA;5,81;0,67;NA;NA
12;MAGALLANES Y DE LA ANTÁRTICA CHILENA;123;TIERRA DEL FUEGO;12303;TIMAUKEL;RURAL;405;98,77;562,31;558,49;NA;28,85;NA;81,25;0,00;355,87;204,60;90,67;NA;0,00;0,00;NA;NA;0,00;0,06;NA;NA;10,68;0,17;NA;0,00
12;MAGALLANES Y DE LA ANTÁRTICA CHILENA;124;ÚLTIMA ESPERANZA;12401;NATALES;RURAL;21477;8,95;9,40;11,67;4,39;84,51;85,42;82,41;461,65;673,76;10,69;52,97;1,66;1,25;36,62;4816755,74;832,65;13,79;0,00;NA;0,25;31,23;0,17;0,33;0,00
12;MAGALLANES Y DE LA ANTÁRTICA CHILENA;124;ÚLTIMA ESPERANZA;12402;TORRES DEL PAINE;RURAL;1209;91,01;128,05;129,92;21,87;7,18;NA;77,42;0,00;480,77;98,81;69,94;NA;9,62;18,71;NA;NA;0,00;NA;NA;NA;15,38;0,50;2,88;0,00
13;METROPOLITANA DE SANTIAGO;132;CORDILLERA;13202;PIRQUE;RURAL;26521;8,17;10,16;59,33;19,73;76,89;NA;88,45;359,74;616,69;8,83;14,36;0,64;0,96;89,55;1101669,55;436,77;11,11;NA;0,39;0,45;5,30;0,50;0,10;NA
13;METROPOLITANA DE SANTIAGO;132;CORDILLERA;13203;SAN JOSÉ DE MAIPO;RURAL;18189;9,36;14,59;15,78;18,27;64,95;NA;83,42;539,20;1728,60;26,69;39,36;1,06;0,53;97,72;831096,98;346,29;18,75;0,00;0,39;NA;NA;0,17;0,05;NA
13;METROPOLITANA DE SANTIAGO;133;CHACABUCO;13303;TILTIL;RURAL;19312;8,41;10,99;16,98;20,21;73,58;26,17;81,74;348,90;1198,18;11,66;35,56;0,46;2,30;92,97;193455,89;647,83;6,67;0,03;NA;0,05;9,14;0,50;0,14;NA
13;METROPOLITANA DE SANTIAGO;134;MAIPO;13403;CALERA DE TANGO;MIXTA;25392;5,70;6,01;17,24;29,60;79,62;NA;89,93;427,31;1323,27;7,87;16,63;0,34;1,38;100,00;323255,94;376,45;13,64;NA;NA;0,03;NA;0,50;0,03;NA
13;METROPOLITANA DE SANTIAGO;134;MAIPO;13404;PAINE;MIXTA;72759;4,97;6,85;16,73;20,03;84,04;NA;85,53;444,42;1033,43;5,53;28,90;0,24;0,47;100,00;329115,06;376,45;30,43;0,01;NA;0,14;10,45;0,50;0,04;NA
13;METROPOLITANA DE SANTIAGO;135;MELIPILLA;13502;ALHUÉ;RURAL;6444;8,23;8,74;68,40;20,04;81,99;NA;78,43;490,98;716,56;7,45;NA;NA;1,33;89,38;NA;NA;0,00;0,06;NA;0,53;NA;0,17;0,27;NA
13;METROPOLITANA DE SANTIAGO;135;MELIPILLA;13503;CURACAVÍ;MIXTA;32579;7,04;9,70;11,67;22,77;77,33;NA;87,40;467,68;1338,16;7,66;39,06;0,27;1,35;97,00;500282,55;346,29;3,13;NA;NA;NA;6,84;0,83;0,11;NA
13;METROPOLITANA DE SANTIAGO;135;MELIPILLA;13504;MARÍA PINTO;RURAL;13590;11,20;20,89;32,57;25,46;89,84;NA;92,50;449,38;898,76;11,55;33,55;0,66;0,66;100,00;48475,94;NA;13,33;0,04;NA;NA;41,17;0,50;0,13;NA
13;METROPOLITANA DE SANTIAGO;135;MELIPILLA;13505;SAN PEDRO;RURAL;9726;28,19;37,88;50,07;26,11;47,11;NA;88,86;511,05;1335,31;22,20;62,59;0,82;0,82;99,93;558803,44;NA;7,69;0,15;NA;1,81;8,98;0,33;0,08;NA
13;METROPOLITANA DE SANTIAGO;136;TALAGANTE;13602;EL MONTE;MIXTA;35923;5,97;6,71;15,88;22,53;87,08;NA;91,46;763,17;864,11;6,98;40,07;0,25;0,49;100,00;281399,13;346,29;29,73;NA;NA;NA;3,03;0,50;0,02;NA
13;METROPOLITANA DE SANTIAGO;136;TALAGANTE;13603;ISLA DE MAIPO;MIXTA;36219;5,99;7,42;16,91;30,26;81,24;NA;86,76;546,53;715,63;6,57;44,93;0,49;0,74;98,99;537394,69;391,53;10,00;NA;NA;NA;12,01;0,50;0,07;NA
14;LOS RÍOS;141;VALDIVIA;14102;CORRAL;RURAL;5302;16,20;19,10;19,36;24,76;65,06;7,28;91,38;587,70;863,18;71,81;80,49;NA;1,84;25,16;NA;831,73;5,26;0,01;0,92;NA;43,34;0,00;0,18;28,57
14;LOS RÍOS;141;VALDIVIA;14103;LANCO;MIXTA;16752;5,29;7,12;12,13;21,83;70,44;46,30;94,49;394,10;703,75;19,04;75,28;0,56;2,25;59,12;528626,25;831,73;4,55;0,42;0,92;NA;30,80;0,33;0,28;76,92
14;LOS RÍOS;141;VALDIVIA;14104;LOS LAGOS;RURAL;19634;9,13;19,78;20,93;23,26;58,72;36,67;91,40;477,42;1086,37;15,30;60,08;0,49;1,46;44,40;492696,67;831,73;4,29;0,02;0,92;NA;6,67;0,33;0,24;0,00
14;LOS RÍOS;141;VALDIVIA;14105;MÁFIL;MIXTA;7095;8,40;12,20;20,90;19,97;59,42;43,60;94,51;405,95;1745,60;10,57;71,64;NA;2,71;46,34;NA;831,73;0,00;0,17;0,92;NA;5,28;0,33;0,81;50,00
14;LOS RÍOS;141;VALDIVIA;14106;MARIQUINA;RURAL;21278;8,12;13,67;15,84;21,57;70,52;33,97;93,44;353,82;1466,45;12,16;65,65;0,43;0,85;37,41;513864,28;831,73;2,50;0,03;0,92;NA;18,03;0,33;NA;75,00
14;LOS RÍOS;141;VALDIVIA;14107;PAILLACO;RURAL;20188;7,29;12,22;15,59;12,76;69,89;48,97;92,24;599,58;772,26;10,58;64,25;0,48;1,92;48,88;532971,88;831,73;15,38;0,09;0,92;NA;22,83;0,00;0,14;25,00
14;LOS RÍOS;141;VALDIVIA;14108;PANGUIPULLI;RURAL;34539;6,97;15,36;27,09;20,53;53,68;27,30;92,85;670,88;978,60;13,08;62,70;0,83;1,11;50,57;1275018,96;831,73;6,48;0,05;0,92;NA;36,34;0,17;0,25;95,56
14;LOS RÍOS;142;RANCO;14201;LA UNIÓN;RURAL;38036;24,40;27,10;28,78;11,15;72,94;54,47;92,07;502,61;734,98;24,99;59,16;1,01;1,01;36,88;3578038,81;685,16;8,16;0,10;NA;NA;4,80;0,50;0,23;77,78
14;LOS RÍOS;142;RANCO;14202;FUTRONO;RURAL;14665;9,60;20,21;76,42;25,62;68,27;30,34;94,25;681,92;976,99;11,71;57,61;0,66;2,62;57,92;330348,23;537,85;6,67;0,04;NA;NA;13,64;0,50;0,33;62,50
14;LOS RÍOS;142;RANCO;14203;LAGO RANCO;RURAL;9896;9,76;30,37;83,16;14,73;46,92;14,17;94,06;738,37;942,39;13,49;49,75;0,97;1,94;46,96;174533,73;831,73;5,56;0,01;NA;NA;49,06;0,50;0,29;93,75
14;LOS RÍOS;142;RANCO;14204;RÍO BUENO;MIXTA;31372;11,29;26,21;29,82;15,56;66,49;47,06;92,05;436,99;773,83;24,20;59,87;0,61;0,91;43,61;1073690,88;685,16;5,43;0,08;NA;NA;7,28;0,00;0,03;92,86
15;ARICA Y PARINACOTA;151;ARICA;15102;CAMARONES;RURAL;1255;83,14;227,22;400,61;22,62;20,44;NA;77,68;322,84;1049,23;224,28;75,63;NA;0,00;54,84;NA;NA;0,00;NA;NA;4,04;NA;0,33;1,61;100,00
15;ARICA Y PARINACOTA;152;PARINACOTA;15201;PUTRE;RURAL;2765;45,43;125,22;318,50;NA;45,90;NA;90,54;433,75;670,35;84,32;87,70;3,94;3,94;34,62;860760,01;NA;0,00;NA;1,13;2,37;57,18;0,17;NA;83,33
15;ARICA Y PARINACOTA;152;PARINACOTA;15202;GENERAL LAGOS;RURAL;684;22,68;227,39;484,92;NA;19,75;NA;85,45;246,91;370,37;96,48;93,01;NA;0,00;22,37;NA;NA;0,00;NA;1,13;NA;25,93;0,33;NA;88,89
16;ÑUBLE;161;DIGUILLÍN;16102;BULNES;RURAL;21493;8,90;13,71;15,66;12,40;75,57;50,46;92,20;480,92;1275,09;15,80;60,35;0,44;1,32;42,48;737114,95;655,07;4,65;0,05;0,70;NA;30,31;0,50;0,09;NA
16;ÑUBLE;161;DIGUILLÍN;16103;CHILLÁN VIEJO;MIXTA;30907;6,11;8,82;12,30;12,02;85,33;NA;95,56;408,03;1355,25;7,03;58,22;0,29;2,04;47,71;152438,35;655,07;29,63;NA;0,70;NA;21,68;0,17;0,06;NA
16;ÑUBLE;161;DIGUILLÍN;16104;EL CARMEN;RURAL;12044;12,94;22,24;23,25;41,76;43,32;26,14;93,03;715,04;885,67;18,50;74,47;0,81;1,63;10,37;277928,09;655,07;7,32;0,03;0,70;NA;17,06;0,17;0,16;0,00
16;ÑUBLE;161;DIGUILLÍN;16105;PEMUCO;RURAL;8448;10,72;17,45;29,13;21,39;72,34;40,01;95,51;498,20;1587,30;14,27;48,91;1,16;3,48;36,74;77057,61;655,07;12,00;0,02;0,70;NA;38,12;0,33;0,12;NA
16;ÑUBLE;161;DIGUILLÍN;16106;PINTO;RURAL;10827;11,00;22,63;46,94;22,80;60,62;14,49;95,91;568,32;869,20;14,01;62,51;NA;2,51;39,84;NA;655,07;0,00;0,03;0,70;NA;22,48;0,33;0,17;NA
16;ÑUBLE;161;DIGUILLÍN;16107;QUILLÓN;MIXTA;17485;8,41;11,08;28,15;13,71;59,55;35,72;92,95;607,69;1178,40;8,98;80,51;NA;1,59;28,56;NA;655,07;34,38;NA;0,70;NA;11,89;0,17;0,37;NA
16;ÑUBLE;161;DIGUILLÍN;16108;SAN IGNACIO;RURAL;16079;7,25;10,97;26,14;27,44;56,66;12,97;96,29;583,28;679,49;9,99;80,06;NA;1,80;25,72;NA;655,07;6,45;NA;0,70;NA;NA;0,17;0,36;NA
16;ÑUBLE;161;DIGUILLÍN;16109;YUNGAY;MIXTA;17787;8,78;10,54;17,10;29,76;78,20;33,64;86,27;391,00;1130,16;20,77;75,37;1,07;1,07;27,26;710434,25;655,07;9,38;0,02;0,70;NA;16,60;0,33;0,21;NA
16;ÑUBLE;162;ITATA;16201;QUIRIHUE;MIXTA;11594;11,37;13,33;15,40;16,00;72,07;64,08;91,57;409,37;695,92;21,92;78,85;0,82;1,64;27,31;535742,72;655,07;7,14;NA;NA;1,47;10,64;0,33;0,41;0,00
16;ÑUBLE;162;ITATA;16202;COBQUECURA;RURAL;5012;12,69;25,99;46,89;50,96;44,70;17,25;92,48;474,83;930,67;20,98;81,57;NA;1,90;17,44;NA;655,07;0,00;NA;NA;NA;20,51;0,17;0,38;0,00
16;ÑUBLE;162;ITATA;16203;COELEMU;RURAL;15995;6,53;11,27;10,15;26,06;65,88;43,50;88,40;367,49;865,39;14,88;77,24;0,59;1,19;34,19;785625,47;655,07;9,68;NA;NA;NA;28,45;0,33;0,12;0,00
16;ÑUBLE;162;ITATA;16204;NINHUE;RURAL;5213;11,43;14,08;47,12;22,55;29,58;21,79;94,25;351,72;296,19;13,02;84,67;NA;3,70;17,86;NA;655,07;5,56;0,19;NA;28,69;24,25;0,50;0,56;NA
16;ÑUBLE;162;ITATA;16205;PORTEZUELO;RURAL;4862;10,97;14,08;44,54;14,98;56,98;NA;96,46;203,05;467,01;11,76;83,84;NA;2,03;10,81;NA;NA;0,00;0,08;NA;3,86;41,22;0,17;0,20;NA
16;ÑUBLE;162;ITATA;16206;RÁNQUIL;RURAL;5755;9,31;15,82;34,27;19,11;62,91;17,53;93,60;334,66;1003,98;14,11;65,74;NA;1,59;40,84;NA;655,07;29,41;NA;NA;NA;43,51;0,17;0,32;NA
16;ÑUBLE;162;ITATA;16207;TREGUACO;RURAL;5401;13,83;21,20;26,07;32,18;50,83;NA;96,51;437,22;629,59;17,02;81,04;NA;1,75;19,15;NA;NA;4,17;NA;NA;8,74;20,46;0,33;0,17;NA
16;ÑUBLE;163;PUNILLA;16301;SAN CARLOS;MIXTA;53024;6,45;9,53;12,68;20,05;81,44;52,69;90,56;621,25;1139,84;9,87;53,71;0,53;0,71;27,63;1433498,99;523,17;11,90;0,04;NA;NA;22,97;0,17;0,09;NA
16;ÑUBLE;163;PUNILLA;16302;COIHUECO;RURAL;26881;16,75;21,39;50,04;12,94;75,11;22,75;94,69;444,54;679,06;18,41;80,01;0,35;0,70;24,67;107569,28;655,07;5,88;0,03;NA;NA;9,56;0,17;0,07;0,00
16;ÑUBLE;163;PUNILLA;16303;ÑIQUÉN;RURAL;11152;11,02;17,94;29,05;24,54;74,22;NA;97,32;406,40;881,97;11,45;75,53;NA;1,73;27,09;NA;NA;3,23;0,00;NA;NA;19,37;0,00;0,09;NA
16;ÑUBLE;163;PUNILLA;16304;SAN FABIÁN;RURAL;4308;12,73;17,94;58,01;34,41;84,62;NA;93,53;916,26;767,10;12,55;72,86;NA;2,13;17,27;NA;NA;6,67;0,02;NA;NA;22,37;0,17;0,64;NA
16;ÑUBLE;163;PUNILLA;16305;SAN NICOLÁS;RURAL;11603;12,45;15,95;30,94;11,44;68,75;NA;91,37;424,11;774,81;13,28;49,22;NA;0,82;33,75;NA;NA;0,00;0,17;NA;0,98;9,38;0,17;0,08;NA
